t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562353200,231.6723,-0.2109362260709986,,,,,0.06534083976131044,0.06534083976131044,0.06534083976131044,0.06534083976131044,0.06534083976131044,,,,,,,,,,,,-0.6680891417733275,-0.8170427454676437,-0.6704402784911164,0.19973461720641872,0.3537068545841122,0.18740341180742393,0.17654927341391446,0.12466831014032365,0.09638986651879344,,,,,,,,,,,,,231.6723
1562356800,233.52,-0.2080103383539722,,,,,0.008370900001756443,0.03331524932468777,0.03331524932468777,0.03331524932468777,0.03331524932468777,,,,,,,,,,,,,-0.8077438448900593,-0.8060929765772449,-0.12495724939035147,0.32391092988587156,0.14506139323472755,0.1369811633701674,0.09951010979382602,0.06316751094874551,0.8612025998865167,,,,,,,,,,,,233.52
1562360400,234.7,-0.2070866423078428,-0.24800639056839502,-0.41022068116270094,-0.760711030082039,-0.7879414003635252,0.0961066092806222,0.13581215658375867,0.13581215658375867,0.13581215658375867,0.13581215658375867,,,,,,,,,,,,,-0.7759309052391357,-0.8863933681267946,-0.6892518611336257,0.32448846051818014,0.11104979260499492,0.12693480486759978,0.11512398734319906,0.04204410004421022,0.8592458908459613,,,,,,,,,,,,234.7
1562364000,233.77,-0.20759795052009622,1,0.042958834267717405,-0.48415670728774063,-0.6249980580714198,-0.2276972643698698,0.21456957869268156,0.21456957869268156,0.21456957869268156,0.21456957869268156,0.21456957869268156,,,,,,,,,,,-0.5110900185355962,-0.3940903054448759,-0.7212641117998146,-0.5525470181080806,0.33538033233768205,0.16114513944608588,0.14595794197864986,0.15839042472422582,0.06742894581107728,0.8597178978922992,,,,,,,,,,,,233.77
1562367600,234.4409,-0.20873047966372837,1,0.24190673709456645,-0.21881284992115657,-0.5534651773368997,-0.5534651773368997,0.24914445118164985,0.24914445118164985,0.24914445118164985,0.24914445118164985,0.24914445118164985,,,,,,,,,,,-0.2012673306640963,-0.17667170837727564,-0.5813451477284022,-0.4921355079397389,0.3437366846419314,0.23821316779870338,0.17152223721507842,0.17872392875695065,0.09904119259880084,0.09637372114921017,,,,,,,,,,,,234.4409
1562371200,233.1,-0.20959247600021058,0.4433427269248278,-0.09198157085477632,-0.2739332843291348,-0.6777486056952732,-0.6777486056952732,0.1890730037038062,0.1890730037038062,0.1890730037038062,0.1890730037038062,0.1890730037038062,,,,,,,,,,,0.18170885880794052,-0.15315483641933025,-0.46708059770295907,-0.45090967825641226,0.1972775200662511,0.33565799251695116,0.18690221712822508,0.17699216544325957,0.12928584265774523,0.10291043715079162,,,,,,,,,,,,233.1
1562374800,232.6,-0.20937911400571352,-0.8352878817994145,-0.29397821681259817,-0.35651403696378414,-0.7654424040066627,-0.768630862682331,0.1230870847046015,0.14514575773563432,0.14514575773563432,0.14514575773563432,0.14514575773563432,,,,,,,,,,,0.401824034334785,-0.3076603457723738,-0.4166568110319909,-0.5425855341378372,-0.04997040757703697,0.3307778855980519,0.16397521106521307,0.1559826442955432,0.11997002956610303,0.08481890556804639,0.856600700195759,,,,,,,,,,,232.6
1562378400,232.78,-0.20751054400412272,,-0.6370322420702712,-0.7153288613802148,-0.8845014374868352,-0.8976448290325932,0.04064606449259722,0.08278784078816614,0.08278784078816614,0.08278784078816614,0.08278784078816614,,,,,,,,,,,0.3496583945718925,-0.3488329944552234,-0.3634572532284699,-0.6061033588704623,-0.48070157248190815,0.32678567028192584,0.1295904405728434,0.14338095072987045,0.13178414807736805,0.06255896046390719,0.853951272857048,,,,,,,,,,,232.78
1562382000,232.7,-0.2037273478771624,,-0.6807222628117524,-0.8017434135908035,-0.9019430806135145,-0.9287156861221849,-0.4571580315669479,0.06776997891870606,0.06776997891870606,0.06776997891870606,0.06776997891870606,0.06776997891870606,,,,,,,,,,-0.18958319350289432,-0.3824420428420907,-0.32454774935978004,-0.6193851907678201,-0.4899669035109929,0.2936246089454171,0.13715313647546368,0.1245341753317839,0.13668077836263204,0.05258063915722655,0.8502031782076898,,,,,,,,,,,232.7
1562587200,233,-0.19813487662358398,-0.7523909746510329,-0.5415579445429668,-0.7153288613802148,-0.8209354786106166,-0.8976448290325932,-0.8976448290325932,0.08278784078816614,0.08278784078816614,0.08278784078816614,0.08278784078816614,0.08278784078816614,,,,,,,,,,-0.6797871970513389,-0.3555453414199249,-0.3113481514575963,-0.5967746770180644,-0.5172614474939934,0.28047325832555203,0.1875773181046727,0.12937401226428413,0.13734468067990968,0.06392578807837634,0.06258759993582874,,,,,,,,,,,233
1562590800,231.51,-0.19119163604372602,,-0.9834046550463701,-0.9895597360385612,-0.9916517904021457,-0.996294800292049,-0.996294800292049,0.035106129352629356,0.035106129352629356,0.035106129352629356,0.035106129352629356,0.035106129352629356,,,,,,,,,,-0.847062646963243,-0.1780056416357949,-0.32366868352811307,-0.5273174693610263,-0.4991045886922225,0.12596760087199366,0.27249430814625253,0.140185947200953,0.13181626128296053,0.08856433681797427,0.06541678110202542,,,,,,,,,,,231.51
1562594400,231.15,-0.1836382809039776,,,,,,,-0.049487867297996924,-0.02308808539153029,-0.02308808539153029,-0.02308808539153029,-0.02308808539153029,,,,,,,,,,-0.8367646758758636,-0.06146155313869217,-0.42822868620739707,-0.48468138672022265,-0.5765112831493877,-0.11164963130027417,0.272364404789867,0.12178243630254859,0.1151710063087823,0.08278252317844714,0.05090671007502956,0.8465243703731415,,,,,,,,,,231.15
1562598000,231,-0.17636976327480625,,,,,,,-0.1486337102566152,-0.09817739473883724,-0.09817739473883724,-0.09817739473883724,-0.09817739473883724,,,,,,,,,,-0.8485106705296486,-0.10886626327039006,-0.463875276842846,-0.4532497169358126,-0.6359800313206625,-0.521407464844803,0.2638490321141487,0.08464036048800372,0.09996361222066508,0.09043625501190866,0.02638804103002701,0.8430558356342892,,,,,,,,,,231
