t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562691600,34.78,0.00465707539687088,0.731707317073155,0.8394160583941526,0.46511627906974407,0.46511627906974407,0.46511627906974407,0.48314606741569155,0.4347826086955735,,,,,,,,,,,,,,1,-0.08053691275168218,0.24061810154524488,-0.0066666666666712615,0.19143239625166752,0.02857142857142203,-0.11591355599214681,0.888113079019073,,,,,,,,,,,,,,34.78
1562695200,34.71,0.004026704863761665,1,1,0.6395348837208934,0.6395348837208934,0.6395348837208934,0.6516853932583806,0.6516853932583806,,,,,,,,,,,,,,0.8382352941176372,0.06201550387596111,0.06632653061223781,-0.024549918166945073,0.10571428571428054,0.04347826086955764,-0.08443540183113474,0.8863462356444061,,,,,,,,,,,,,,34.71
1562698800,34.79,0.004894784362079463,0.3684210526316971,0.9148936170212933,0.6564417177913899,0.5697674418604435,0.5697674418604435,0.5842696629213144,0.5842696629213144,-0.10191082802550722,,,,,,,,,,,,,0.7962962962962841,0.3103448275861973,0.008130081300805392,0.05743243243242313,0.09537572254334559,0.05444126074497757,-0.038262668045510706,0.8864910790144427,,,,,,,,,,,,,,34.79
1562702400,35.01,0.007534451412588794,1,1,0.9627329192546135,0.8372093023255345,0.8372093023255345,0.8426966292134326,0.8426966292134326,0.25670498084285676,,,,,,,,,,,,,0.37037037037038933,0.5751295336787485,-0.10850439882698604,0.19465648854961182,0.057607090103392045,0.09719737626713632,-0.03225806451613522,-0.18349429323968935,,,,,,,,,,,,,,35.01
1562763600,35.11,0.011985733358066852,1,1,1,1,1,1,1,0.897674418604586,,,,,,,,,,,,,0.5142857142857167,0.7676767676767624,-0.014084507042264716,0.2799999999999889,0.08464849354375237,0.1723300970873698,0.009307135470518979,-0.13321492007105395,,,,,,,,,,,,,,35.11
1562767200,35.17,0.01805117513256249,1,1,1,1,1,1,1,1,,,,,,,,,,,,,0.6421052631578936,0.8534482758620723,0.09414758269719137,0.3102189781021798,0.0820143884892015,0.2422802850356225,0.0886597938144249,-0.051212938005398057,0.8861390320128384,,,,,,,,,,,,,35.17
1562770800,34.38,0.02533064307522892,-0.24752475247532357,-0.04132231404963771,0.46610169491523057,0.46610169491523057,0.46610169491523057,0.46610169491523057,0.4793388429751717,0.4793388429751717,,,,,,,,,,,,,0.9016393442623112,0.8682170542635677,0.3315789473684114,0.2645914396887066,0.12960436562072952,0.22384428223843678,0.14982224479430362,0.024434389140264967,0.8865033257556616,,,,,,,,,,,,,34.38
1562774400,34.09,0.03328524726179438,,,-0.3983050847457823,-0.3983050847457823,-0.3983050847457823,-0.3983050847457823,-0.3636363636364133,-0.3636363636364133,-0.5095541401274409,,,,,,,,,,,,0.18823529411762752,0.4244604316546603,0.2587064676616784,0.06493506493505263,0.08661417322833453,0.11368909512760061,0.07625899280574533,-0.004397537379078664,0.8765494137353427,,,,,,,,,,,,,34.09
1562778000,34.2,0.041316742041232146,,,,,,,,,,,,,,,,,,,,,-0.24060150375941303,-0.13750000000000862,0.10239651416121043,-0.16639209225701135,0.04810126582277596,-0.026511134676571846,0.01584427342688155,-0.07742461287694336,-0.1943060498220709,,,,,,,,,,,,,34.2
1562781600,34.48,0.04884863605075651,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,-0.9236641221374253,,,,,,,,,,,,-0.5411764705882385,-0.36097560975610377,-0.059479553903351134,-0.2719424460431723,-0.04277456647399647,-0.12054001928640856,-0.03608247422681177,-0.1338944146901373,-0.2278308321964585,,,,,,,,,,,,,34.48
