t,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,SMA (0)-1,SMA (1)-1,SMA (2)-1,SMA (3)-1,SMA (4)-1,SMA (5)-1,SMA (6)-1,SMA (7)-1,SMA (8)-1,SMA (9)-1,SMA (10)-1,SMA (11)-1,SMA (12)-1,SMA (13)-1,SMA (14)-1,SMA (15)-1,SMA (16)-1,SMA (17)-1,SMA (18)-1,SMA (19)-1,month,day,DoW,hour,o
1562612400,0.002367222309430872,,,,-0.7880341880341526,-0.17133258678606522,0.05339366515839794,,,,,,,,,,,,,,,-0.9951456310679657,-0.057731958762885505,-0.23396105968718273,0.16138828633407099,0.14019079220241215,0.14090670400840377,,,,,,,,,,,,,,,-0.002282586706826668,-0.00245088673604678,-0.00023657533322795493,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.625,296.57
1562616000,0.024334031202386086,1,-0.8967495219884916,-0.8967495219884916,-0.8967495219884916,-0.1108622620380062,0.021696252465529975,,,,,,,,,,,,,,,-0.9908675799086845,-0.1882086167800483,-0.3628441965841571,0.10238751147843739,0.12526096033404333,0.17166996225059306,0.9698086061821511,,,,,,,,,,,,,,-0.001661704398629273,-0.0021967866973761434,-0.000161226897364825,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.6666666666666666,296.86
1562677200,0.04714190970850041,,,,,-0.3527435610301657,-0.2837407013814591,,,,,,,,,,,,,,,-0.3170731707315855,-0.36814621409918435,-0.3159010600706472,0.04354207436400315,0.14351081530783794,0.22522189349113897,0.969817488422773,,,,,,,,,,,,,,-0.0022745424480017373,-0.0033024174044115093,-0.0015300478831302058,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.375,295.54
1562680800,0.06948351776753725,,,,,-0.4773755656107851,-0.46248600223958203,-0.1819004524886555,,,,,,,,,,,,,,-0.6433121019107424,-0.7386519944979005,-0.2882352941176305,-0.10091277890465156,0.10401606425704224,0.1506798970966683,0.9675021494726987,,,,,,,,,,,,,,-0.002092337475238779,-0.0036348595353861185,-0.0021904451047477396,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.4166666666666667,296.08
1562684400,0.09015413335924904,,,,,-0.8552278820374439,-0.5498320268756332,-0.25248868778276834,,,,,,,,,,,,,,-0.7365853658535888,-0.9210155148095686,-0.1892797319932814,-0.2091660005328877,0.09565563969710444,0.10678531701891947,0.0357980303267198,,,,,,,,,,,,,,-0.0018680539134548998,-0.00376791766600206,-0.0026898550071873624,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.4583333333333333,296.47
1562688000,0.10815960632260158,0.13265306122427578,-1.5365486660812167e-13,-0.6791907514451327,-0.6791907514451327,-0.6791907514451327,-0.30123180291151386,-0.051583710407237526,,,,,,,,,,,,,,-0.7692307692306963,-0.9133126934984287,-0.1960132890365317,-0.30352679811161265,0.07562032296181376,0.05973534971645589,0.07199482284420533,,,,,,,,,,,,,,-0.00030814215024786186,-0.002189608636977061,-0.001528902384165187,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.5,296.65
1562691600,0.12278060318521966,1,0.7755102040814996,-0.49710982658961034,-0.49710982658961034,-0.49710982658961034,-0.1601343784994017,-0.021696252465462695,,,,,,,,,,,,,,-0.1736526946108229,-0.49728752260401166,-0.18421052631580392,-0.3271133729148923,0.06568471337580428,0.08867717112496076,0.13464933397528767,0.965661041245846,,,,,,,,,,,,,0.00045401930705839196,-0.0012165245046805208,-0.000940816410624829,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.5416666666666666,296.71
1562695200,0.13359390159536133,1,1,-0.4046242774566974,-0.4046242774566974,-0.4046242774566974,-0.08846584546471759,-0.03294367693943134,,,,,,,,,,,,,,-0.05945945945949671,-0.10619469026549977,-0.267605633802808,-0.262745098039204,0.02775476387738518,0.1164383561643938,0.19095640858816698,0.965684518964675,,,,,,,,,,,,,0.0007942481604219465,-0.0007026905577712126,-0.0007221629313410265,,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.5833333333333334,296.79
1562698800,0.1404637080265161,1,1,-0.23050847457634704,-0.3439306358382064,-0.3439306358382064,-0.052036199095011004,-0.04143337066069297,0.1583710407239718,,,,,,,,,,,,,0.401360544217628,0.03769401330373512,-0.4103819784525047,-0.16565900846433157,-0.03574580759046564,0.13541666666667163,0.17512437810945736,0.9656964318647818,,,,,,,,,,,,,0.0009883642571538935,-0.0004453254863202714,-0.0006463677613548676,0.0008054326339906926,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.625,296.86
1562702400,0.1435177901137763,1,1,0.4611398963729385,-0.18497109826594904,-0.18497109826594904,-0.09919571045576026,0.08174692049271948,0.25791855203618774,,,,,,,,,,,,,0.7067669172932209,0.07855626326960419,-0.4769230769230979,-0.0260273972602737,-0.0954492415402497,0.15423423423424132,0.16064799190010493,0.08731418675133384,,,,,,,,,,,,,0.0014906107238659416,0.00014647944236770614,-0.00020596917758232278,0.001280712978864329,,,,,,,,,,,,,,,,,0.5,0.2903225806451613,0.2857142857142857,0.6666666666666666,297.26
